ppid	indication_mesh_id
18358	D004830
18298	D000789
16453	D001714
16173	D001228
14742	D004828
14268	D013927
14268	D050197
13342	D001714
12306	D018805
12262	D012221
10837	D001943
10339	D014839
10339	D009325
8874	D009190
7156	D020529
5940	D003929
5819	D000544
4232	D015179
3115	D000758
2982	D000789
2982	D013514
1512	D013922
26945	D005901
25514	D006976
1951	D020521
1951	D002545
17970	D005909
17970	D008527
17970	D001932
105	D002385
7261	D011537
4232	D001943
866	D007011
25863	D012874
1400	D010051
10740	D006973
14726	D006973
11049	D007319
12759	D011629
12759	D007889
5658	D010149
1462	D003863
7876	D012852
4412	D014069
7876	D006069
10990	D007247
12953	D006333
7966	D003924
11066	D006949
13548	D012874
4428	D012874
4428	D010033
7459	D014552
9176	D015658
1444	D047748
1218	D011565
64979	D000310
7381	D003863
18984	D006973
19730	D008881
15701	D007251
2045	D007752
11786	D010003
3154	D009181
12139	D004381
12139	D013276
12963	D014029
18475	D000562
15009	D006973
11962	D006973
10983	D006973
7421	D009771
7421	D000072861
5671	D006333
7887	D006937
5308	D009203
5308	D050197
9352	D002583
14269	D007943
4381	D012141
4381	D011008
4225	D006973
7876	D011008
33488	D005128
36583	D059352
14115	D012514
17182	D014406
18511	D007247
24981	D003928
19736	D004830
4483	D010024
106792	D001049
31764	D003550
41545	D004409
2119	D000292
2900	D006712
74730	D007249
17016	D009765
14366	D003371
13442	D005764
24981	D007676
136389	D007918
76538	D009765
7306	D011470
17270	D010003
12774	D059226
15540	D013276
11893	D012141
11893	D008589
19078	D002289
19078	D001943
17304	D003093
7885	D001943
15557	D001943
12727	D057135
12177	D012893
4436	D001172
18471	D006527
10775	D015043
38335	D015658
32759	D015658
22915	D007680
12553	D003924
24520	D019190
39743	D008258
2972	D006333
1153	D000437
4635	D006973
4378	D014069
4377	D014552
8084	D006973
14836	D001281
1377	D001008
4609	D001172
17995	D012874
7350	D008224
2057	D001171
5774	D014693
4781	D016491
15760	D010300
31771	D011111
29052	D059226
28726	D016410
28637	D000077299
27921	D016411
27542	D000072716
26930	D007319
26813	D011014
26813	D012874
25955	D013927
25542	D054058
25542	D013927
22698	D004412
18979	D001714
18360	D002583
17923	D011565
16530	D053201
15902	D006949
15692	D005767
15692	D013514
15669	D001943
14268	D014526
13537	D004828
13059	D012127
12811	D007249
12716	D020176
12381	D012148
12381	D010300
11063	D014605
11054	D003928
8874	D009101
1911	D010300
2982	D054058
242	D009190
31748	D006530
5327	D012874
10874	D003233
12160	D015470
11991	D018589
4416	D014552
1433	D014987
18534	D011141
6543	D007319
12945	D006973
17317	D007249
3172	D008881
4412	D012874
8271	D012141
593	D007511
4428	D000292
17177	D001281
7381	D003865
25484	D014029
70073	D012221
5475	D012221
13416	D001714
645	D007039
5164	D013927
10143	D001249
17182	D011014
4425	D018805
31469	D014526
3132	D011471
3132	D007889
14521	D001172
11007	D006967
18031	D020018
18031	D012735
11980	D006973
4241	D059226
3106	D006973
6996	D002177
7419	D006938
7887	D015228
9352	D015464
11837	D059352
5532	D011183
7227	D006973
28382	D001008
18201	D001172
2119	D010033
31098	D001528
4609	D009404
3080	D003440
5940	D059352
15740	D004412
40495	D004357
15604	D059226
4327	D001281
2485	D015658
15793	D007239
37435	D029424
11485	D011014
15718	D003704
7828	D009437
24120	D006509
3133	D001008
33597	D013927
33732	D014009
32907	D015464
28752	D022124
16253	D001943
68818	D013167
2972	D000787
4377	D012874
17993	D006973
34740	D004485
6468	D000789
24722	D001049
6695	D010003
6695	D001172
2057	D001172
34907	D000707
10794	D001172
12751	D001172
18971	D003586
12160	D001943
23039	D059268
38178	D013964
36480	D014376
36477	D003924
32764	D003924
32764	D007676
28975	D016411
28688	D020529
28330	D000741
25955	D016491
25787	D001943
24278	D045823
22698	D001172
18298	D009203
17024	D006976
25093	D018798
14742	D009437
16173	D002177
13041	D003457
12587	D006934
11188	D015470
6178	D010051
5947	D011470
5802	D011471
913	D019650
863	D012778
1951	D013921
17036	D006086
4225	D006976
2105	D006967
23699	D003267
16985	D002177
12188	D000380
4117	D011565
13528	D013167
14494	D001249
15008	D006333
4243	D006333
7876	D006192
10990	D016543
10990	D008527
10990	D005909
10990	D001932
8271	D011014
13548	D002177
12153	D010190
27850	D004421
13565	D053201
18812	D007247
7364	D001249
6356	D000758
9718	D000787
4425	D012141
70073	D014581
70073	D006255
4672	D012141
16230	D003876
5529	D010149
15540	D005764
15594	D003865
4106	D000568
17673	D014552
4739	D060737
10983	D006333
7421	D003865
4540	D007239
6996	D001228
9352	D006526
9352	D008545
9352	D012514
11947	D011565
2119	D008193
6511	D000741
15540	D004942
16174	D050171
14115	D001943
30859	D006962
9974	D053159
4483	D009203
4483	D002545
4483	D020521
37139	D006689
37139	D012509
165695	D007037
64974	D006526
41448	D008661
13442	D004942
4716	D016481
2105	D003233
25758	D012514
1627	D015451
86043	D064420
18521	D050197
18521	D018149
15740	D009369
12850	D001008
19125	D009181
15726	D015658
11893	D060737
11893	D014552
16009	D007169
3140	D015464
5596	D059226
14321	D013276
4327	D000787
12280	D000072716
9100	D016491
9122	D055623
12280	D059352
7862	D016849
33638	D016410
30452	D008180
27584	D007680
16253	D014402
16253	D007680
68818	D003093
68818	D045743
68818	D045745
68818	D012595
36855	D046152
35988	D031249
6460	D006973
4716	D015270
4377	D006192
11013	D014552
4781	D050197
1155	D018149
57456	D001943
31771	D001249
28637	D012874
25542	D002545
25542	D020521
25936	D005185
19668	D007251
19051	D013036
18360	D055752
17878	D008181
24189	D004830
15902	D015228
12306	D014406
12306	D012874
10700	D010024
10794	D015535
3163	D060737
16985	D012874
15704	D005128
12191	D011565
7959	D003924
11039	D065631
18534	D014555
1476	D003863
12945	D000787
13528	D001171
13528	D059352
4279	D001943
7876	D012874
4412	D010033
10112	D009181
7203	D000787
7184	D020529
5947	D000505
5802	D002289
4231	D000072716
3978	D054058
1148	D011471
7261	D003876
24190	D015470
15906	D014552
5628	D015658
4406	D007239
12780	D018805
12849	D001249
15594	D003863
9733	D000787
18006	D060737
37490	D004830
4739	D014123
9065	D005134
14553	D008881
8440	D008288
6623	D011471
8468	D013924
3154	D012874
1329	D006934
2840	D006973
5308	D000789
2119	D016481
7381	D001008
13522	D014424
12093	D005356
12749	D014839
12749	D009325
12160	D008228
15906	D012141
19125	D000072742
4483	D006949
88555	D006976
37139	D009101
33850	D028227
57462	D010051
4231	D009128
14214	D000072861
2105	D004485
33850	D000686
29933	D007680
184563	D000072716
1627	D055752
16988	D011293
12850	D059226
3140	D006689
10766	D004828
10766	D004832
10935	D013203
4436	D015179
10935	D016908
17304	D001172
14214	D009771
17304	D001171
15731	D000544
18272	D006712
39726	D007319
38628	D029424
33488	D002386
30452	D012507
68818	D000075262
68818	D013036
68818	D020330
33488	D010149
22228	D003924
43097	D019294
36484	D014820
34938	D054198
34327	D013927
31728	D003248
31771	D029424
29908	D007680
28985	D016553
27741	D007890
24405	D004646
19736	D010300
22698	D013167
18358	D008881
16530	D014549
15715	D010145
15715	D010001
15715	D010144
2972	D006973
10829	D006973
2881	D007249
5856	D011537
1377	D016584
4781	D000789
3035	D005901
12939	D015658
15669	D008228
13537	D004827
12811	D004412
11063	D005128
10864	D004828
6458	D006973
5940	D003865
5802	D001943
2341	D012874
1281	D003865
7347	D012874
1951	D013514
13468	D009765
7261	D006255
18534	D014549
10819	D020246
13040	D000787
18388	D006470
27850	D009128
23283	D007172
4381	D059413
6579	D020249
16669	D011655
15906	D059413
4661	D014552
11905	D003093
8696	D017495
13069	D000789
7886	D000028
6996	D009181
11947	D001172
1963	D001321
19051	D004828
14706	D003924
4260	D014277
28869	D000762
4483	D015179
4483	D003072
37039	D000075262
37139	D013274
25770	D015658
40044	D009101
12871	D011041
13408	D015817
12093	D003865
118236	D000310
28752	D056693
8705	D015658
38008	D047748
15740	D001172
15740	D059226
15540	D004381
19125	D002177
74730	D004485
18511	D007889
15604	D000758
17954	D006973
4436	D013167
14321	D010437
2044	D006937
1881	D006526
9100	D007511
30452	D004892
29473	D006938
25758	D009101
12555	D003924
68818	D009404
68818	D003231
39595	D003924
